timestamp,session_time,frame_identifier,player_car_index,track_name
1785642921.7552917,184.3446502685547,3701,0,MONTREALGRAND PRIX
1785642922.2625263,184.8513641357422,3711,0,MONTREALGRAND PRIX
1785642922.758946,185.35284423828125,3721,0,MONTREALGRAND PRIX
1785642923.2671826,185.85826110839844,3731,0,MONTREALGRAND PRIX
1785642923.7575512,186.344482421875,3741,0,MONTREALGRAND PRIX
1785642924.2616384,186.846923828125,3751,0,MONTREALGRAND PRIX
1785642924.7626815,187.3578643798828,3761,0,MONTREALGRAND PRIX
1785642925.263941,187.85643005371094,3771,0,MONTREALGRAND PRIX
1785642925.7571955,188.34698486328125,3781,0,MONTREALGRAND PRIX
1785642926.2575693,188.8490447998047,3791,0,MONTREALGRAND PRIX
1785642926.7566988,189.34666442871094,3801,0,MONTREALGRAND PRIX
1785642927.2631297,189.85235595703125,3811,0,MONTREALGRAND PRIX
1785642927.7619433,190.3531036376953,3821,0,MONTREALGRAND PRIX
1785642928.2621963,190.8509063720703,3831,0,MONTREALGRAND PRIX
1785642928.7595336,191.34561157226562,3841,0,MONTREALGRAND PRIX
1785642929.266729,191.84555053710938,3851,0,MONTREALGRAND PRIX
1785642929.7558916,192.34356689453125,3861,0,MONTREALGRAND PRIX
1785642930.263137,192.84910583496094,3872,0,MONTREALGRAND PRIX
1785642930.7587302,193.34632873535156,3882,0,MONTREALGRAND PRIX
1785642931.2589698,193.84881591796875,3892,0,MONTREALGRAND PRIX
1785642931.7669744,194.35694885253906,3902,0,MONTREALGRAND PRIX
1785642932.2570555,194.84593200683594,3912,0,MONTREALGRAND PRIX
1785642932.7582674,195.34820556640625,3922,0,MONTREALGRAND PRIX
1785642933.2614198,195.84878540039062,3932,0,MONTREALGRAND PRIX
1785642933.7632117,196.35369873046875,3942,0,MONTREALGRAND PRIX
1785642934.2555287,196.84437561035156,3952,0,MONTREALGRAND PRIX
1785642934.7577724,197.34747314453125,3963,0,MONTREALGRAND PRIX
1785642935.2610157,197.84762573242188,3973,0,MONTREALGRAND PRIX
1785642935.7616324,198.3515625,3983,0,MONTREALGRAND PRIX
1785642936.264946,198.85443115234375,3993,0,MONTREALGRAND PRIX
1785642936.7577758,199.34344482421875,4003,0,MONTREALGRAND PRIX
1785642937.2600873,199.84756469726562,4013,0,MONTREALGRAND PRIX
1785642937.7648447,200.35391235351562,4023,0,MONTREALGRAND PRIX
1785642938.264359,200.85089111328125,4033,0,MONTREALGRAND PRIX
1785642938.7621908,201.3485565185547,4043,0,MONTREALGRAND PRIX
1785642939.2587545,201.84536743164062,4053,0,MONTREALGRAND PRIX
1785642939.7667804,202.34710693359375,4063,0,MONTREALGRAND PRIX
1785642940.2664485,202.8534698486328,4073,0,MONTREALGRAND PRIX
1785642940.7622578,203.34718322753906,4083,0,MONTREALGRAND PRIX
1785642941.260818,203.84986877441406,4093,0,MONTREALGRAND PRIX
1785642941.761785,204.35009765625,4103,0,MONTREALGRAND PRIX
1785642942.256907,204.845458984375,4113,0,MONTREALGRAND PRIX
1785642942.762112,205.3521728515625,4123,0,MONTREALGRAND PRIX
1785642943.2669432,205.85276794433594,4133,0,MONTREALGRAND PRIX
1785642943.758642,206.34652709960938,4143,0,MONTREALGRAND PRIX
1785642944.2680638,206.85287475585938,4153,0,MONTREALGRAND PRIX
1785642944.7665827,207.355712890625,4163,0,MONTREALGRAND PRIX
1785642945.2689633,207.85643005371094,4173,0,MONTREALGRAND PRIX
1785642945.7666152,208.3592529296875,4183,0,MONTREALGRAND PRIX
1785642946.261961,208.85015869140625,4193,0,MONTREALGRAND PRIX
1785642946.7622862,209.35862731933594,4203,0,MONTREALGRAND PRIX
1785642947.262051,209.85086059570312,4213,0,MONTREALGRAND PRIX
1785642947.7635186,210.3568115234375,4223,0,MONTREALGRAND PRIX
1785642948.2588964,210.84913635253906,4233,0,MONTREALGRAND PRIX
1785642948.7642467,211.35604858398438,4243,0,MONTREALGRAND PRIX
1785642949.2656183,211.85389709472656,4253,0,MONTREALGRAND PRIX
1785642949.7628033,212.35031127929688,4263,0,MONTREALGRAND PRIX
1785642950.2648573,212.85357666015625,4273,0,MONTREALGRAND PRIX
1785642950.7645373,213.35008239746094,4283,0,MONTREALGRAND PRIX
1785642951.2673283,213.857666015625,4293,0,MONTREALGRAND PRIX
1785642951.76244,214.3491668701172,4303,0,MONTREALGRAND PRIX
1785642952.263985,214.84996032714844,4313,0,MONTREALGRAND PRIX
1785642952.7576015,215.34866333007812,4323,0,MONTREALGRAND PRIX
1785642953.2573955,215.84347534179688,4333,0,MONTREALGRAND PRIX
1785642953.7588952,216.34873962402344,4343,0,MONTREALGRAND PRIX
1785642954.2629638,216.84999084472656,4353,0,MONTREALGRAND PRIX
1785642954.7657251,217.3561553955078,4363,0,MONTREALGRAND PRIX
1785642955.2690005,217.85617065429688,4373,0,MONTREALGRAND PRIX
1785642955.758697,218.34210205078125,4383,0,MONTREALGRAND PRIX
1785642956.265611,218.85321044921875,4393,0,MONTREALGRAND PRIX
1785642956.7564783,219.34442138671875,4403,0,MONTREALGRAND PRIX
1785642957.265995,219.85403442382812,4413,0,MONTREALGRAND PRIX
1785642957.768387,220.35791015625,4423,0,MONTREALGRAND PRIX
1785642958.2639074,220.85116577148438,4433,0,MONTREALGRAND PRIX
1785642958.7646852,221.353515625,4443,0,MONTREALGRAND PRIX
1785642959.2669382,221.85166931152344,4453,0,MONTREALGRAND PRIX
1785642959.7626796,222.3502960205078,4463,0,MONTREALGRAND PRIX
1785642960.2589297,222.84498596191406,4473,0,MONTREALGRAND PRIX
1785642960.7638137,223.34725952148438,4483,0,MONTREALGRAND PRIX
1785642961.265339,223.85194396972656,4493,0,MONTREALGRAND PRIX
1785642961.7602015,224.34535217285156,4503,0,MONTREALGRAND PRIX
1785642962.2633488,224.85067749023438,4513,0,MONTREALGRAND PRIX
1785642962.7639186,225.3505096435547,4523,0,MONTREALGRAND PRIX
1785642963.268149,225.85626220703125,4533,0,MONTREALGRAND PRIX
1785642963.7584634,226.3480682373047,4543,0,MONTREALGRAND PRIX
1785642964.2659438,226.8535614013672,4553,0,MONTREALGRAND PRIX
1785642964.7588258,227.34475708007812,4563,0,MONTREALGRAND PRIX
1785642965.2623122,227.8500213623047,4573,0,MONTREALGRAND PRIX
1785642965.7640965,228.3511962890625,4583,0,MONTREALGRAND PRIX
1785642966.265974,228.84837341308594,4593,0,MONTREALGRAND PRIX
1785642966.7565327,229.34359741210938,4603,0,MONTREALGRAND PRIX
1785642967.2640893,229.8548126220703,4613,0,MONTREALGRAND PRIX
1785642967.7639542,230.35182189941406,4623,0,MONTREALGRAND PRIX
1785642968.2594504,230.846923828125,4633,0,MONTREALGRAND PRIX
1785642968.7599456,231.34645080566406,4643,0,MONTREALGRAND PRIX
1785642969.2686577,231.85409545898438,4653,0,MONTREALGRAND PRIX
1785642969.757167,232.34359741210938,4663,0,MONTREALGRAND PRIX
1785642970.263313,232.8501739501953,4673,0,MONTREALGRAND PRIX
1785642970.758276,233.33950805664062,4683,0,MONTREALGRAND PRIX
1785642971.2575874,233.84303283691406,4693,0,MONTREALGRAND PRIX
1785642971.7661173,234.35484313964844,4703,0,MONTREALGRAND PRIX
1785642972.2640986,234.84938049316406,4713,0,MONTREALGRAND PRIX
1785642972.7609606,235.34877014160156,4723,0,MONTREALGRAND PRIX
1785642973.259116,235.84490966796875,4733,0,MONTREALGRAND PRIX
1785642973.763408,236.3428192138672,4743,0,MONTREALGRAND PRIX
1785642974.2655416,236.85421752929688,4753,0,MONTREALGRAND PRIX
1785642974.7653852,237.35592651367188,4763,0,MONTREALGRAND PRIX
1785642975.2640753,237.8459014892578,4773,0,MONTREALGRAND PRIX
1785642975.7675042,238.35548400878906,4783,0,MONTREALGRAND PRIX
1785642976.266357,238.85194396972656,4793,0,MONTREALGRAND PRIX
1785642976.7567215,239.34323120117188,4803,0,MONTREALGRAND PRIX
1785642977.2660894,239.85125732421875,4813,0,MONTREALGRAND PRIX
1785642977.7562869,240.3417205810547,4823,0,MONTREALGRAND PRIX
1785642978.2585711,240.84445190429688,4834,0,MONTREALGRAND PRIX
1785642978.7651844,241.35047912597656,4844,0,MONTREALGRAND PRIX
1785642979.2652948,241.85096740722656,4854,0,MONTREALGRAND PRIX
1785642979.7572284,242.34344482421875,4864,0,MONTREALGRAND PRIX
1785642980.270019,242.8560791015625,4874,0,MONTREALGRAND PRIX
1785642980.7647002,243.3489227294922,4884,0,MONTREALGRAND PRIX
1785642981.2641797,243.84947204589844,4894,0,MONTREALGRAND PRIX
1785642981.764292,244.34713745117188,4904,0,MONTREALGRAND PRIX
1785642982.2607663,244.84378051757812,4914,0,MONTREALGRAND PRIX
1785642982.7657204,245.35206604003906,4924,0,MONTREALGRAND PRIX
1785642983.262025,245.8492889404297,4934,0,MONTREALGRAND PRIX
1785642983.7637265,246.35079956054688,4944,0,MONTREALGRAND PRIX
1785642984.2575278,246.84365844726562,4954,0,MONTREALGRAND PRIX
1785642984.7586505,247.34506225585938,4964,0,MONTREALGRAND PRIX
1785642985.2687953,247.85455322265625,4974,0,MONTREALGRAND PRIX
1785642985.7687442,248.35643005371094,4984,0,MONTREALGRAND PRIX
1785642986.2584982,248.83941650390625,4994,0,MONTREALGRAND PRIX
1785642986.7654195,249.3511199951172,5004,0,MONTREALGRAND PRIX
1785642987.264076,249.85231018066406,5014,0,MONTREALGRAND PRIX
1785642987.7668402,250.35250854492188,5024,0,MONTREALGRAND PRIX
1785642988.259941,250.84400939941406,5034,0,MONTREALGRAND PRIX
1785642988.760058,251.34803771972656,5044,0,MONTREALGRAND PRIX
