timestamp,session_time,frame_identifier,player_car_index_x,last_lap_time,current_lap_time,sector_1_time_ms,sector_1_time_min,sector_2_time_ms,sector_2_time_min,delta_car_ahead_ms,delta_car_ahead_min,delta_race_leader_ms,delta_race_leader_min,lap_distance,total_distance,speed_trap_fastest_speed,speed_trap_fastest_lap,current_lap_num,player_car_index_y,speed_kph,throttle,steer,brake,clutch,gear,engine_rpm,drs,rev_lights_percent,rev_lights_bit_value,brake_temp_rl,brake_temp_rr,brake_temp_fl,brake_temp_fr,player_car_index,world_pos_X,world_pos_Y,world_pos_Z,world_velo_X,world_velo_Y,world_velo_Z,track_name
1786296861.5524929,469.3744812011719,9583,0,84058,80538,28024,0,25405,0,0,0,0,0,4049.26953125,12792.1630859375,332.7499084472656,3,3,0,177,0.0,-0.0,0.0,0,4,10706,1,40,0,692,697,739,743,0,303.9322509765625,87.64057922363281,817.2371215820312,13.465901374816896,0.0484671033918857,47.50421524047852,MONTREALGRAND PRIX
1786296862.063964,469.88677978515625,9593,0,84058,0,0,0,0,0,0,0,0,0,3066.27099609375,7437.7177734375,332.7499084472656,3,3,0,282,0.0,-0.0,0.0,0,7,11079,1,53,0,668,673,718,722,0,116.3903579711914,94.24192810058594,-125.77738189697266,29.2876091003418,-1.039423942565918,72.6622085571289,MONTREALGRAND PRIX
1786296862.5670807,470.3919372558594,9603,0,84058,0,0,0,0,0,0,0,0,0,3105.8505859375,7477.29736328125,332.7499084472656,3,3,0,288,1.0,0.0063354060985147,0.0,0,7,11564,1,72,0,640,644,692,695,0,131.20518493652344,93.8091278076172,-89.06559753417969,29.495880126953125,-0.846005916595459,74.51376342773438,MONTREALGRAND PRIX
1786296863.0612018,470.8786010742188,9613,0,84058,0,0,0,0,0,0,0,0,0,3145.9951171875,7517.44189453125,332.7499084472656,3,3,0,295,1.0,-0.004648916888982,0.0,0,8,10527,1,33,0,612,616,667,670,0,145.5759735107422,93.40799713134766,-51.59753036499024,28.004562377929688,-0.8076306581497192,77.13094329833984,MONTREALGRAND PRIX
1786296863.554139,471.3742370605469,9623,0,84058,0,0,0,0,0,0,0,0,0,3187.4921875,7558.93896484375,332.7499084472656,3,3,0,301,1.0,0.0081789745017886,0.0,0,8,10752,1,41,0,585,589,642,645,0,159.21551513671875,92.8359375,-12.427233695983888,26.548301696777344,-1.561068773269653,79.50761413574219,MONTREALGRAND PRIX
1786296864.053151,471.8714599609375,9633,0,84058,0,0,0,0,0,0,0,0,0,3229.79833984375,7601.2451171875,332.7499084472656,3,3,0,307,1.0,0.0091864801943302,0.0,0,8,10950,1,49,0,559,563,618,622,0,171.93853759765625,91.95140838623048,27.493993759155277,24.655134201049805,-1.879280686378479,81.79420471191406,MONTREALGRAND PRIX
1786296864.5551932,472.3760070800781,9643,0,84058,0,0,0,0,0,0,0,0,0,3272.90966796875,7644.3564453125,332.7499084472656,3,3,0,312,1.0,0.0096774948760867,0.0,0,8,11124,1,55,0,534,538,595,598,0,183.80572509765625,91.12104034423828,68.91278839111328,22.886016845703125,-1.3915200233459473,83.80303955078125,MONTREALGRAND PRIX
1786296865.0628536,472.88421630859375,9653,0,84058,0,0,0,0,0,0,0,0,0,3316.47509765625,7687.921875,332.7499084472656,3,3,0,317,1.0,0.0125073175877332,0.0,0,8,11273,1,60,0,510,514,573,576,0,194.74122619628903,90.5942153930664,111.1305160522461,20.910898208618164,-0.7318300604820251,85.566650390625,MONTREALGRAND PRIX
1786296865.5541852,473.3808288574219,9663,0,84058,0,0,0,0,0,0,0,0,0,3360.76513671875,7732.2119140625,332.7499084472656,3,3,0,320,1.0,-0.0010144766420125,0.0,0,8,11401,1,66,0,488,491,551,554,0,204.76779174804688,90.36215209960938,154.2884063720703,19.47325134277344,-0.2495875805616378,86.96258544921875,MONTREALGRAND PRIX
1786296866.0624292,473.8869934082031,9673,0,84058,0,0,0,0,0,0,0,0,0,3406.15966796875,7777.6064453125,332.7499084472656,3,3,0,324,1.0,-0.0,0.0,0,8,11512,1,70,0,465,469,530,533,0,214.49981689453125,90.30506134033205,198.61328125,19.01593017578125,-0.0274630691856145,87.97349548339844,MONTREALGRAND PRIX
1786296866.5590007,474.38226318359375,9683,0,84058,0,0,0,0,0,0,0,0,0,3451.36962890625,7822.81640625,332.7499084472656,3,3,0,326,1.0,-1.7102798344215128e-10,0.0,0,8,11604,1,74,0,445,448,510,513,0,224.02346801757807,90.29866790771484,242.79364013671875,19.148725509643555,-0.0066350898705422,88.70854187011719,MONTREALGRAND PRIX
1786296867.05939,474.8784790039063,9693,0,84058,0,0,0,0,0,0,0,0,0,3496.0087890625,7867.45556640625,332.7499084472656,3,3,0,328,1.0,-0.0,0.0,0,8,11682,1,78,0,425,428,491,494,0,233.4418487548828,90.2944564819336,286.4405517578125,19.26077461242676,-0.0399495586752891,89.32572174072266,MONTREALGRAND PRIX
1786296867.5593896,475.3824768066406,9703,0,84058,0,0,0,0,0,0,0,0,0,3542.00927734375,7913.4560546875,332.7499084472656,3,3,0,330,1.0,0.0010144766420125,0.0,0,8,11752,1,80,0,406,409,473,475,0,243.13819885253903,90.19710540771484,331.41619873046875,19.379304885864254,-0.3697617948055267,89.871826171875,MONTREALGRAND PRIX
1786296868.0644605,475.8735961914063,9713,0,84058,0,0,0,0,0,0,0,0,0,3587.15771484375,7958.6044921875,332.7499084472656,3,3,0,328,0.0,0.0205259881913661,0.0,0,8,11501,1,70,0,388,391,455,457,0,252.6318817138672,89.88001251220703,375.5609130859375,18.82836151123047,-0.9647958278656006,89.38223266601562,MONTREALGRAND PRIX
1786296868.5546966,476.3795166015625,9723,0,84058,0,0,0,0,0,0,0,0,0,3633.36474609375,8004.8115234375,332.7499084472656,3,3,0,327,1.0,-0.0,0.0,0,8,11624,1,75,0,370,373,438,440,0,261.7786865234375,89.28211975097656,420.8639526367188,17.79560661315918,-1.2960281372070312,89.12137603759766,MONTREALGRAND PRIX
1786296869.0610704,476.8853759765625,9733,0,84058,0,0,0,0,0,0,0,0,0,3679.29443359375,8050.7412109375,332.7499084472656,3,3,0,329,1.0,-0.0,0.0,0,8,11699,1,78,0,354,356,421,423,0,270.7738952636719,88.61492919921875,465.9053039550781,17.923471450805664,-1.2319949865341189,89.74620819091797,MONTREALGRAND PRIX
