timestamp,session_time,frame_identifier,player_car_index,world_pos_X,world_pos_Y,world_pos_Z,world_velo_X,world_velo_Y,world_velo_Z,world_fwd_dir_X,world_fwd_dir_Y,world_fwd_dir_Z,world_rgt_dir_X,world_rgt_dir_Y,world_rgt_dir_Z,gforce_lat,gforce_long,gforce_vert,yaw,pitch,roll
1785642921.7586005,184.3446502685547,3701,0,375.2156677246094,87.62705993652344,1119.787109375,14.662487030029297,-1.199252437800169e-06,77.98841094970703,5728,-95,32262,-32262,141,5728,-15204,-16544,-7340,-2.7585920594921094e-22,-2.683078630373149e+29,1.5807165938897265e-30
1785642921.812075,184.39947509765625,3702,0,375.93731689453125,87.62704467773438,1123.6800537109375,14.247230529785156,-0.00033097193227149546,77.74523162841797,5665,-96,32273,-32273,99,5665,2097,-16596,-13631,7.565068710475104e-28,-4.3818831038761065e+30,2203196850176.0
1785642921.8695114,184.45437622070312,3703,0,376.64141845703125,87.62712860107422,1127.5606689453125,13.952839851379395,0.0032899603247642517,77.48429870605469,5662,-95,32273,-32273,67,5662,31457,-16684,0,-2.758590797314661e-22,-6.846358258450432e+16,-0.12523724138736725
1785642921.9144933,184.49771118164062,3704,0,377.3337707519531,87.62735748291016,1131.4276123046875,13.765772819519043,0.004422550089657307,77.2074203491211,5676,-96,32271,-32271,34,5677,15204,-16801,-18350,7.565067266027645e-28,5191894528.0,-1.664688671740025e+35
1785642921.9727955,184.55667114257812,3705,0,378.01873779296875,87.62752532958984,1135.2803955078125,13.648429870605469,0.004062734544277191,76.92037200927734,5691,-97,32268,-32268,15,5691,-16253,-16950,-19923,6.855852736709168e-41,-6848.0,-2.411981820389756e-35
1785642922.0139534,184.60003662109375,3706,0,378.6989440917969,87.62774658203125,1139.1187744140625,13.569591522216797,0.0039129797369241714,76.62834167480469,5701,-98,32266,-32267,6,5701,-29360,-17129,-4719,-2.7585897875727024e-22,1.045165363201392e-24,-2101132.75
1785642922.0683546,184.65699768066406,3707,0,379.3757629394531,87.6279525756836,1142.9423828125,13.509178161621094,0.003930215258151293,76.33476257324219,5707,-100,32265,-32266,1,5707,29884,-17389,-6291,-2.7585895351372127e-22,16477.6328125,6.789126075000889e-21
1785642922.1131248,184.6991424560547,3708,0,380.0498046875,87.6281509399414,1146.7513427734375,13.456302642822266,0.004036417696624994,76.04151153564453,5710,-101,32265,-32265,0,5710,0,0,8913,-2.7585895351372127e-22,1.5558270952448983e+18,2.66350219169669e+36
1785642922.1683345,184.75588989257812,3709,0,380.7212829589844,87.62834930419922,1150.5457763671875,13.405882835388184,0.004159831441938877,75.7494888305664,5711,-102,32265,-32265,0,5711,-25690,15172,24117,7.565065340097701e-28,1.1793190115491075e+24,-4.665451913687946e-10
1785642922.2089202,184.7980499267578,3710,0,381.3902282714844,87.62853240966797,1154.3255615234375,13.355915069580078,0.0041683693416416645,75.45903015136719,5711,-103,32265,-32265,0,5711,4719,15107,22544,7.565064858615215e-28,1.1528834120803348e+26,-4.064181811060624e+31
