packet_format,game_year,game_major_version,game_minor_version,packet_version,packet_id,session_uid,session_time,frame_identifier,overall_frame_identifier,player_car_index,secondary_player_car_index,packet_size,timestamp,packet_name
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621396.1934125,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621396.2981596,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621396.4461262,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621396.5349941,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621396.673878,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621396.725403,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621397.1864672,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621397.206035,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621398.8940601,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621398.9480202,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621402.9689043,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621403.070383,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621403.4870212,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621403.5954573,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621404.1233995,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621404.2724988,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621404.5439284,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621404.6826603,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621405.113781,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621405.2291527,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621405.326234,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621405.4177623,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621405.6826923,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621405.8389184,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621406.0716813,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621406.205747,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621406.553559,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621406.6440313,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621408.234315,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621408.3619251,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621408.5363545,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621408.6533556,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621408.7936642,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621408.8484159,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621410.2162824,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621410.3150961,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621412.0248315,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621412.1239595,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621412.561873,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621412.677193,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621413.0717447,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621413.1595347,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621413.5719485,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621413.6748242,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621424.3143861,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621424.4487643,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621425.2049694,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621425.3242614,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621425.6972513,Event
2025,25,1,22,1,3,0,661.3338623046875,0,0,0,255,45,1782621425.745462,Event
2025,25,1,22,1,3,12331792693039097994,0.0,0,0,0,255,45,1782621467.3379614,Event
2025,25,1,22,1,1,12331792693039097994,0.0,0,0,0,255,753,1782621467.3418534,Session
2025,25,1,22,1,4,12331792693039097994,0.0,0,0,0,255,1284,1782621467.3418534,Participants
2025,25,1,22,1,5,12331792693039097994,0.0,0,0,0,255,1133,1782621467.3433797,Car Setups
2025,25,1,22,1,10,12331792693039097994,0.0,0,0,0,255,1041,1782621467.3433797,Car Damage
2025,25,1,22,1,12,12331792693039097994,0.0,0,0,0,255,231,1782621467.3433797,Tyre Sets
2025,25,1,22,1,14,12331792693039097994,0.0,0,0,0,255,101,1782621467.3433797,Time Trial
2025,25,1,22,1,15,12331792693039097994,0.0,0,0,0,255,1131,1782621467.3433797,Lap Positions
2025,25,1,22,1,2,12331792693039097994,0.0,0,0,0,255,1285,1782621467.3433797,Lap Data
2025,25,1,22,1,0,12331792693039097994,0.0,0,0,0,255,1349,1782621467.3433797,Motion
2025,25,1,22,1,13,12331792693039097994,0.0,0,0,0,255,273,1782621467.3433797,Motion Ex
2025,25,1,22,1,6,12331792693039097994,0.0,0,0,0,255,1352,1782621467.3433797,Car Telemetry
2025,25,1,22,1,7,12331792693039097994,0.0,0,0,0,255,1239,1782621467.3443892,Car Status
2025,25,1,22,1,10,12331792693039097994,0.1256965547800064,1,1,0,255,1041,1782621467.5100806,Car Damage
2025,25,1,22,1,12,12331792693039097994,0.1256965547800064,1,1,0,255,231,1782621467.5100806,Tyre Sets
2025,25,1,22,1,2,12331792693039097994,0.1256965547800064,1,1,0,255,1285,1782621467.5118847,Lap Data
2025,25,1,22,1,0,12331792693039097994,0.1256965547800064,1,1,0,255,1349,1782621467.5118847,Motion
2025,25,1,22,1,13,12331792693039097994,0.1256965547800064,1,1,0,255,273,1782621467.5118847,Motion Ex
2025,25,1,22,1,6,12331792693039097994,0.1256965547800064,1,1,0,255,1352,1782621467.5118847,Car Telemetry
2025,25,1,22,1,7,12331792693039097994,0.1256965547800064,1,1,0,255,1239,1782621467.5118847,Car Status
2025,25,1,22,1,10,12331792693039097994,0.20899654924869537,2,2,0,255,1041,1782621467.667968,Car Damage
2025,25,1,22,1,12,12331792693039097994,0.20899654924869537,2,2,0,255,231,1782621467.667968,Tyre Sets
2025,25,1,22,1,2,12331792693039097994,0.20899654924869537,2,2,0,255,1285,1782621467.667968,Lap Data
2025,25,1,22,1,0,12331792693039097994,0.20899654924869537,2,2,0,255,1349,1782621467.667968,Motion
2025,25,1,22,1,13,12331792693039097994,0.20899654924869537,2,2,0,255,273,1782621467.667968,Motion Ex
2025,25,1,22,1,6,12331792693039097994,0.20899654924869537,2,2,0,255,1352,1782621468,Car Telemetry
2025,25,1,22,1,7,12331792693039097994,0.20899654924869537,2,2,0,255,1239,1782621468,Car Status
2025,25,1,22,1,10,12331792693039097994,0.29229655861854553,3,3,0,255,1041,1782621467.6885617,Car Damage
2025,25,1,22,1,12,12331792693039097994,0.4336344301700592,4,4,0,255,231,1782621467.7214794,Tyre Sets
2025,25,1,22,1,2,12331792693039097994,0.4336344301700592,4,4,0,255,1285,1782621467.7214794,Lap Data
2025,25,1,22,1,0,12331792693039097994,0.4336344301700592,4,4,0,255,1349,1782621467.7231877,Motion
2025,25,1,22,1,13,12331792693039097994,0.4336344301700592,4,4,0,255,273,1782621467.7231877,Motion Ex
2025,25,1,22,1,6,12331792693039097994,0.4336344301700592,4,4,0,255,1352,1782621467.7231877,Car Telemetry
2025,25,1,22,1,7,12331792693039097994,0.4336344301700592,4,4,0,255,1239,1782621467.7231877,Car Status
