timestamp,session_time,frame_identifier,player_car_index,last_lap_time,current_lap_time,sector_1_time_ms,sector_1_time_min,sector_2_time_ms,sector_2_time_min,delta_car_ahead_ms,delta_car_ahead_min,delta_race_leader_ms,delta_race_leader_min,lap_distance,total_distance,delta_safety_car,car_position,current_lap_num,pit_status,pit_stops_count,sector,current_lap_invalid,penalties,total_warnings,corner_cutting_warnings,unserved_drive_thru_pens_count,unserved_stop_go_pens_count,grid_pos,driver_status,result_status,pitlane_timer_active,pitlane_time_in_lane_ms,pitstop_timer_ms,pitstop_should_serve_pen,speed_trap_fastest_speed,speed_trap_fastest_lap
1784313290.3608677,146.52088928222656,2943,0,0,0,0,0,0,0,0,0,0,0,-1309.4990234375,-1309.4990234375,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313290.4126318,146.57188415527344,2944,0,0,0,0,0,0,0,0,0,0,0,-1303.228515625,-1303.228515625,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313290.4636621,146.6231231689453,2945,0,0,0,0,0,0,0,0,0,0,0,-1298.525390625,-1298.525390625,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313290.5148258,146.67413330078125,2946,0,0,0,0,0,0,0,0,0,0,0,-1293.82177734375,-1293.82177734375,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313290.557665,146.7155303955078,2947,0,0,0,0,0,0,0,0,0,0,0,-1290.68603515625,-1290.68603515625,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313290.6086075,146.7679901123047,2948,0,0,0,0,0,0,0,0,0,0,0,-1285.98193359375,-1285.98193359375,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313290.6592116,146.81948852539062,2949,0,0,0,0,0,0,0,0,0,0,0,-1281.27490234375,-1281.27490234375,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313290.7108393,146.87086486816406,2950,0,0,0,0,0,0,0,0,0,0,0,-1276.564453125,-1276.564453125,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313290.7651815,146.9231719970703,2951,0,0,0,0,0,0,0,0,0,0,0,-1270.2822265625,-1270.2822265625,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313290.8165143,146.9746856689453,2952,0,0,0,0,0,0,0,0,0,0,0,-1265.5703125,-1265.5703125,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
